estacion,estado,latitud,longitud,msnm,TEMPERATURA_CELSIUS,VELOCIDAD_MEDIA_DIARIA_VIENTO_MILLAS_POR_HORA,DIRECCION_VIENTO_MAS_RAPIDA_5_SEC_GRADOS,VELOCIDAD_VIENTO_MAS_RAPIDA_5_SEC_MILLAS_POR_HORA,PRECIPITACION_mm,mes,dia,rango_estacion
1,,29.1828,-81.0483,9.4,23.400000000000002,1.0045100220641876,270.0,36.01,0.0,-0.3246711778803988,24,-0.13143960268877047
1,,29.1828,-81.0483,9.4,20.700000000000003,-0.5882859944651415,270.0,23.94,0.0,-0.3246711778803988,26,-0.13143960268877047
1,,29.1828,-81.0483,9.4,25.700000000000003,-0.03545988563537432,270.0,29.08,0.0,0.08012551139504238,28,-0.13143960268877047
1,,29.1828,-81.0483,9.4,27.1,-0.8318578939000388,270.0,21.03,0.0,0.8897188899459247,1,-0.13143960268877047
1,,29.1828,-81.0483,9.4,27.1,-0.7716491097700643,270.0,23.94,0.76,0.8897188899459247,8,-0.13143960268877047
1,,29.1828,-81.0483,9.4,26.900000000000002,-0.7716491097700643,270.0,31.09,0.02,0.8897188899459247,9,-0.13143960268877047
1,,29.1828,-81.0483,9.4,26.599999999999998,-0.2817685479852707,270.0,21.03,0.31,0.8897188899459247,30,-0.13143960268877047
1,,29.1828,-81.0483,9.4,27.800000000000004,-0.8948034409450125,270.0,23.04,0.05,1.2945155792213658,5,-0.13143960268877047
6,,24.555,-81.7522,1.2,27.800000000000004,-0.8948034409450125,270.0,29.08,0.02,1.2945155792213658,27,-1.6961248346964726
7,,25.7906,-80.3164,8.8,23.8,-0.09840543268034792,270.0,23.04,0.0,-1.1342645564312812,9,1.4332456293189315
10,,27.9619,-82.5403,5.8,18.899999999999995,-1.2615296715548578,270.0,14.09,0.0,-1.5390612457067223,5,-0.13143960268877047
10,,27.9619,-82.5403,5.8,18.400000000000002,-0.8318578939000388,270.0,18.12,0.0,-1.1342645564312812,6,-0.13143960268877047
10,,27.9619,-82.5403,5.8,19.299999999999997,-0.7716491097700643,270.0,19.91,0.0,-1.1342645564312812,12,-0.13143960268877047
10,,27.9619,-82.5403,5.8,15.599999999999998,-1.0781665562499352,270.0,17.0,0.0,-1.1342645564312812,17,-0.13143960268877047
10,,27.9619,-82.5403,5.8,22.199999999999996,-0.3419773321152452,270.0,23.94,0.0,-1.1342645564312812,24,-0.13143960268877047
10,,27.9619,-82.5403,5.8,24.299999999999997,-0.5253404474201679,270.0,23.94,0.0,-1.1342645564312812,28,-0.13143960268877047
10,,27.9619,-82.5403,5.8,21.399999999999995,-0.3419773321152452,270.0,33.11,0.0,-0.72946786715584,10,-0.13143960268877047
10,,27.9619,-82.5403,5.8,17.9,-0.5253404474201679,270.0,23.94,0.0,-0.72946786715584,20,-0.13143960268877047
